title,dynasty,author,content
别宋常侍,隋代,尹式,<p>游人杜陵北，送客汉川东。<br />无论去与住，俱是一飘蓬。<br />秋鬓含霜白，衰颜倚酒红。<br />别有相思处，啼鸟杂夜风。</p>
乡人至夜话,明代,李昌祺,<p>形容不识识乡音，挑尽寒灯到夜深。<br />故旧凭君休更说，老怀容易便沾襟。</p>
梅花,五代,李煜,殷勤移植地，曲槛小栏边。共约重芳日，还忧不盛妍。 <br />阻风开步障，乘月溉寒泉。谁料花前后，蛾眉却不全。 <br />失却烟花主，东君自不知。清香更何用，犹发去年枝。
自题金山画像,宋代,苏轼,心似已灰之木，身如不系之舟。<br />问汝平生功业，黄州惠州儋州。
放言五首·其二,唐代,白居易,世途倚伏都无定，尘网牵缠卒未休。<br />祸福回还车轮毂，荣枯反覆手藏钩。<br />龟灵未免刳肠患，马失应无折足忧。<br />不信请看弈棋者，输赢须待局终头。
考槃,先秦,佚名,考槃在涧，硕人之宽。独寐寤言，永矢弗谖。<br />考槃在阿，硕人之薖。独寐寤歌，永矢弗过。<br />考槃在陆，硕人之轴。独寐寤宿，永矢弗告。
春思二首,唐代,贾至,"<p>草色青青柳色黄，桃花历乱李花香。<br />东风不为吹愁去，春日偏能惹恨长。</p>
<p>红粉当垆弱柳垂，金花腊酒解酴醿。<br />笙歌日暮能留客，醉杀长安轻薄儿。</p>"
送云卿知卫州,宋代,司马光,汗简成新令，褰帷刺剧州。<br />韦平家法在，邵杜治声优。<br />野竹交淇水，秋瓜蔓帝邱。<br />三年归奉计，肯顾石渠游。
花非花,唐代,白居易,花非花，雾非雾。<br />夜半来，天明去。<br />来如春梦几多时？<br />去似朝云无觅处。
鹧鸪天·赠驭说高秀英,元代,王恽,短短罗袿淡淡妆，拂开红袖便当场。掩翻歌扇珠成串，吹落谈霏玉有香。<br />由汉魏，到隋唐，谁教若辈管兴亡。百年总是逢场戏，拍板门锤未易当。
点绛唇·红杏飘香,宋代,苏轼,红杏飘香，柳含烟翠拖轻缕。水边朱户。尽卷黄昏雨。<br />烛影摇风，一枕伤春绪。归不去。凤楼何处。芳草迷归路。
忆旧游·记愁横浅黛,宋代,周邦彦,记愁横浅黛，泪洗红铅，门掩秋宵。坠叶惊离思，听寒螿夜泣，乱雨潇潇。凤钗半脱云鬓，窗影烛光摇。渐暗竹敲凉，疏萤照晚，两地魂消。<br />迢迢，问音信，道径底花阴，时认鸣镳。也拟临朱户，叹因郎憔悴，羞见郎招。旧巢更有新燕，杨柳拂河桥。但满目京尘，东风竟日吹露桃。
江有汜,先秦,佚名,江有汜，之子归，不我以。不我以，其后也悔。<br />江有渚，之子归，不我与。不我与，其后也处。<br />江有沱，之子归，不我过。不我过，其啸也歌。
点绛唇·咏风兰,清代,纳兰性德,别样幽芬，更无浓艳催开处。凌波欲去，且为东风住。<br />忒煞萧疏，争奈秋如许。还留取，冷香半缕，第一湘江雨。
滁州西涧,唐代,韦应物,独怜幽草涧边生，上有黄鹂深树鸣。 <br />春潮带雨晚来急，野渡无人舟自横。
猗嗟,先秦,佚名,<p>猗嗟昌兮，颀而长兮。抑若扬兮，美目扬兮。巧趋跄兮，射则臧兮。<br />猗嗟名兮，美目清兮，仪既成兮。终日射侯，不出正兮，展我甥兮。<br />猗嗟娈兮，清扬婉兮。舞则选兮，射则贯兮。四矢反兮，以御乱兮。</p>
江雪,唐代,柳宗元,千山鸟飞绝，万径人踪灭。<br />孤舟蓑笠翁，独钓寒江雪。
念奴娇·我来牛渚,宋代,吴渊,我来牛渚，聊登眺、客里襟怀如豁。谁著危亭当此处，占断古今愁绝。江势鲸奔，山形虎踞，天险非人设。向来舟舰，曾扫百万胡羯。<br />追念照水然犀，男儿当似此，英碓豪杰。岁月匆匆留不住，鬓已星星堪镊。云暗江天，烟昏淮地，是断魂时节。栏干捶碎，酒狂忠愤俱发。
正月二十日与潘郭二生出郊寻春忽记去年是日同至女王城作诗乃和前韵,宋代,苏轼,东风未肯入东门，走马还寻去岁村。<br />人似秋鸿来有信，事如春梦了无痕。<br />江城白酒三杯酽，野老苍颜一笑温。<br />已约年年为此会，故人不用赋《招魂》。
国风·郑风·褰裳,先秦,佚名,<p>子惠思我，褰裳涉溱。子不我思，岂无他人？狂童之狂也且！<br />子惠思我，褰裳涉洧。子不我思，岂无他士？狂童之狂也且！</p>
白鹿洞二首·其一,唐代,王贞白,读书不觉已春深，一寸光阴一寸金。(已春深 一作：春已深)<br />不是道人来引笑，周情孔思正追寻。
卜算子·风露湿行云,宋代,张元干,风露湿行云，沙水迷归艇。卧看明河月满空，斗挂苍山顶。 <br />万古只青天，多事悲人境。起舞闻鸡酒未醒，潮落秋江冷。
一百五日夜对月,唐代,杜甫,<p>无家对寒食，有泪如金波。<br />斫却月中桂，清光应更多。<br />仳离放红蕊，想像嚬青蛾。<br />牛女漫愁思，秋期犹渡河。</p>
苏幕遮·草,宋代,梅尧臣,露堤平，烟墅杳。乱碧萋萋，雨后江天晓。独有庾郎年最少。窣地春袍，嫩色宜相照。<br />接长亭，迷远道。堪怨王孙，不记归期早。落尽梨花春又了。满地残阳，翠色和烟老。
喜闻捷报,近现代,毛泽东,"<p>一九四七年中秋步运河上，闻西北野战军收复蟠龙作。</p>
<p>秋风度河上，大野入苍穹。<br />佳令随人至，明月傍云生。<br />故里鸿音绝，妻儿信未通。<br />满宇频翘望，凯歌奏边城。</p>"
池口风雨留三日,宋代,黄庭坚,孤城三日风吹雨，小市人家只菜蔬。<br />水远山长双属玉，身闲心苦一舂锄。<br />翁从旁舍来收网，我适临渊不羡鱼。<br />俯仰之间已陈迹，暮窗归了读残书。
青青河畔草,两汉,佚名,<p>青青河畔草，郁郁园中柳。<br />盈盈楼上女，皎皎当窗牖。<br />娥娥红粉妆，纤纤出素手。<br />昔为倡家女，今为荡子妇。<br />荡子行不归，空床难独守。</p>
